#'Name ',Value,'Definition',
'.forest.treeStand.Species','Ppinaster',' code of the Species name',
#'1.- TREE LAYER - CANOPY STOMATAL MODEL',0.0,,#################################################################################################
'.forest.treeStand.canopy.pcs_StomatalConductance.g_stom_Max ', 0.004,'maximal stomatal conductance (m s-1)',
'.forest.treeStand.canopy.pcs_StomatalConductance.k_SWabs_P50', 50,   'Leaf solar radiation absorded for 50%  of stomatal conductance ponderation (W m-2_LAI)',
'.forest.treeStand.canopy.pcs_StomatalConductance.k_VPD_P100',  600,  'VPD that start to close stomata (Pa)', 
'.forest.treeStand.canopy.pcs_StomatalConductance.k_VPD_Curv',  1.0, 'Curvature parameter of VPD ponderation of stomatal conductance (-)',
'.forest.treeStand.canopy.pcs_StomatalConductance.k_Yleaf_0',  -1.3,  'Leaf water potential at 50 pct stomata closure (MPa)',
'.forest.treeStand.canopy.pcs_StomatalConductance.k_Yleaf_1',   7.5,  'Curvature parameter of leaf water potential ponderation of stomatal conductance (-)',
'.forest.treeStand.canopy.pcs_StomatalConductance.k_time_P50',  12,   'time for 50% response of stomatal conductance to stationnary state (minute)',
'.forest.treeStand.canopy.pcs_StomatalConductance.k_CO2',       0.9,  'response to a doubling of CO2 concentration from 350 to 700 ppm',
#'2.- TREE LAYER - CANOPY RADIATION TRANSFER',0.0,,#################################################################################################
'.forest.treeStand.canopy.pcs_ShortWaveBalance.k_Beam_f  ',	0.33	,'Extinction coefficient of foliage canopy for perpendicular beam radiation ',
'.forest.treeStand.canopy.pcs_ShortWaveBalance.k_d_f  ',	0.467	,'Diffuse shortwave extinction coefficient including clumping',
'.forest.treeStand.canopy.pcs_ShortWaveBalance.k_Beam_w  ',	0.9	,'Extinction coefficient of woody parts for perpendicular beam radiation ',
'.forest.treeStand.canopy.pcs_ShortWaveBalance.k_d_w  ',	0.9	,'Diffuse shortwave extinction coefficient of woody parts',
'.forest.treeStand.canopy.pcs_ShortWaveBalance.rho_l  ',	0.09	,'Leaf reflectance for shortwave (_)',
'.forest.treeStand.canopy.pcs_ShortWaveBalance.theta_l  ',	0.014	,'Leaf transmitance for shortwave (_)',
'.forest.treeStand.canopy.pcs_ShortWaveBalance.rho_cd  ',	0.036	,'Canopy reflection coefficient for diffuse shortwave (_)',
'.forest.treeStand.canopy.pcs_ShortWaveBalance.Albedo_w  ',	0.2	,'Woody parts scattering coefficient for shortwave (_)',
'.forest.treeStand.canopy.pcs_EnergyBalance.kLAI1_LW_Int ',	-0.548	,'parameter 1 of longwave radiation interception (-)',
'.forest.treeStand.canopy.pcs_EnergyBalance.kLAI2_LW_Int ',	0.0177	,'parameter 2 of longwave radiation interception (-)',
'.forest.treeStand.canopy.pcs_EnergyBalance.Emissivity ',	0.98	,'emissivity (ex. Rubio et al. RSE 1997)',
#'3.- TREE LAYER - RAINFALL INTERCEPTION',0.0,,#################################################################################################
'.forest.treeStand.canopy.pcs_CanopyRainInterception.kRainInt_LAI  ',	0.3	,'parameter of rain interception by leaf (-)',
'.forest.treeStand.canopy.pcs_CanopyRainInterception.kRainInt_WAI  ',	0.5	,'parameter of rain interception by leaf (-)',
'.forest.treeStand.canopy.pcs_CanopyRainInterception.SurfaceWaterStorageCapacity  ',	0.2	,'water storage capacity by leaf area index(kg_H2O m-2_Leaf Area Index)',
#'4.- TREE LAYER - CANOPY PHOTOSYNTHESIS',0.0,,#################################################################################################
'.forest.treeStand.canopy.pcs_AssimilationFarquhar.Kc_25',	0.0004049	,'Michaelis-Menten constant of rubisco for CO2 at 25 degC (mol_CO2 mol-1)',
'.forest.treeStand.canopy.pcs_AssimilationFarquhar.Ea_Kc',	79430	,'Activation energy for Kc (J  mol-1)',
'.forest.treeStand.canopy.pcs_AssimilationFarquhar.Ko_25',	0.2784	,'Michaelis-Menten constant of rubisco for O2 at 25 degC (mol_O2  mol-1)',
'.forest.treeStand.canopy.pcs_AssimilationFarquhar.Ea_Ko',	36380	,'Activation energy for Ko (J  mol-1)',
'.forest.treeStand.canopy.pcs_AssimilationFarquhar.GammaStar_25',	0.00004275	,'CO2 compensation point of photosynthesis in the absence of mitochondrial respiration (mol_CO2  mol-1_air : ppm)',
'.forest.treeStand.canopy.pcs_AssimilationFarquhar.Ea_GammaStar',	37830	,'Activation energy for GammaStar (J  mol-1)',
'.forest.treeStand.canopy.pcs_AssimilationFarquhar.Vcmax_25',   0.00004499,'Vcmax at 25 degC',
