Last: mdl.locTime.Y,Last: mdl.locTime.DOY,Last: mdl.locTime.H,Sum:  mdl.climate.microclim.Rain,Mean: mdl.climate.microclim.u,Mean: mdl.climate.microclim.TaC,Mean: mdl.climate.microclim.d,Mean: mdl.climate.microclim.SWDir,Mean: mdl.climate.microclim.SWDif,Mean: mdl.climate.microclim.LWDw,Last: mdl.forest.treeStand.canopy.LAI,Last: mdl.forest.treeStand.canopy.WAI,Last: mdl.forest.underStorey.canopy.LAI,Last: mdl.forest.underStorey.canopy.WAI,Last: mdl.forest.treeStand.canopy.sunLayer.LAI,Last: mdl.forest.treeStand.canopy.shadeLayer.LAI,Min: mdl.forest.treeStand.canopy.WaterPotential,Min: mdl.forest.soil.waterCycle.RootLayerWaterPotential,Last: mdl.forest.soil.waterCycle.Stock_RootLayer,Last: mdl.forest.soil.waterCycle.w_A,Last: mdl.forest.soil.waterCycle.w_RootLayer,Mean: mdl.forest.LE,Mean: mdl.forest.Rnet,Mean: mdl.forest.H,Sum: mdl.forest.GPP,Sum: mdl.forest.NEE,Sum: mdl.forest.RAuto,Sum: mdl.forest.soil.carbonCycle.Rh,Sum: mdl.forest.treeStand.canopy.Assimilation,Sum: mdl.forest.treeStand.canopy.Respiration,Sum: mdl.forest.treeStand.canopy.Transpiration,Sum: mdl.forest.treeStand.canopy.Evaporation,Sum: mdl.forest.underStorey.canopy.ETR,Sum: mdl.forest.underStorey.canopy.Assimilation,Sum: mdl.forest.underStorey.canopy.Respiration,Sum: mdl.forest.underStorey.canopy.Transpiration,Sum: mdl.forest.underStorey.canopy.Evaporation,Sum: mdl.forest.soil.surface.ETR,Sum: mdl.forest.soil.surface.ETR_DrySurface,Sum: mdl.forest.soil.surface.ETR_WetSurface,Last: mdl.forest.treeStand.Age    ,Last: mdl.forest.treeStand.density,Last: mdl.forest.treeStand.IStress   ,Last: mdl.forest.treeStand.DBHmean ,Last: mdl.forest.treeStand.HEIGHTmean,Last: mdl.forest.treeStand.BasalArea,Last: mdl.forest.treeStand.PROD_VOL,Last: mdl.forest.treeStand.WDeadTrees,Last: mdl.forest.treeStand.LeafFall,Last: mdl.forest.treeStand.Wr,Last: mdl.forest.treeStand.WStem,Last: mdl.forest.treeStand.WBranch,Last: mdl.forest.treeStand.WFoliage,Last: mdl.forest.treeStand.WTapRoot,Last: mdl.forest.treeStand.WCoarseRoot,Last: mdl.forest.treeStand.WSmallRoot,Last: mdl.forest.treeStand.WFineRoot,Last: mdl.manager.harvest_WStem,Last: mdl.manager.harvest_WBranch,Last: mdl.forest.underStorey.foliage.W,Last: mdl.forest.underStorey.perennial.W,Last: mdl.forest.underStorey.roots.W,Last: mdl.forest.soil.carbonCycle.HUM,Last: mdl.forest.soil.carbonCycle.BIO,Last: mdl.forest.soil.carbonCycle.DPM,Last: mdl.forest.soil.carbonCycle.RPM,Last: mdl.forest.soil.waterCycle.SOC
1998,1,23,0,4.04812,3.11251,8.39768,0,12.0396,244.64,0,0.11815,0,0,0,0,0,-0.277135,50.3971,100.794,100.794,-26.4958,-34.4436,-33.8819,0,1.2812,1.15002,0.131181,0,0,0,0,0,0,0,0,0,-0.918016,0,-0.918016,76,328,0,24.8128,29.6579,19.3518,366.284,0,0,7.04614,20.5119,2.70208,0.154439,1.17224,3.66357,1.50083,0.709494,0,0,0,0.04995,0.1,5423.26,413.01,255.388,1803.26,0.997588
1998,2,23,1,4.67583,3.77526,20.8689,0,5.04594,247.938,0,0.11815,0,0,0,0,-0.277135,-0.892862,52.259,104.518,104.518,-28.3658,-64.8897,-37.5085,0,4.20136,1.15039,3.05097,0,0,0,0,0,0,0,0,0,-0.983461,0,-0.983461,76,328,0,24.8128,29.6579,19.3518,366.284,0,0,7.04614,20.5119,2.70208,0.154439,1.17224,3.66357,1.50083,0.709494,0,0,0,0.0498002,0.0975,5423.33,413.012,255.827,1804.3,0.997795
1998,3,23,16.4,6.47812,4.14631,29.8142,0,8.95837,249.799,0,0.11815,0,0,0,0,-0.892862,-0.892862,68.7173,137.435,137.435,-26.6596,-65.151,-39.7531,0,1.95498,1.15057,0.804413,0,0,0,0,0,0,0,0,0,-0.924585,0,-0.924585,76,328,0,24.8128,29.6579,19.3518,366.284,0,0,7.04614,20.5119,2.70208,0.154439,1.17224,3.66357,1.50083,0.709494,0,0,0,0.0496507,0.0950625,5423.39,413.014,256.41,1805.35,0.99802
1998,4,23,2.8,10.0998,3.3565,114.83,2.84999,18.5182,240.871,0,0.11815,0,0,0,0,-0.0478635,-0.0478635,71.5132,143.026,143.026,-0.126951,-61.4641,-63.0405,0,1.78606,1.1216,0.664461,0,0,0,0,0,0,0,0,0,-0.00410961,0.00516309,-0.0092727,76,328,0,24.8128,29.6579,19.3518,366.284,0,0,7.04614,20.5119,2.70208,0.154439,1.17224,3.66357,1.50083,0.709494,0,0,0,0.0496011,0.0950625,5423.48,413.017,255.793,1805.84,0.998014
1998,5,23,4.8,5.86354,2.56369,32.4786,0,2.7305,240.183,0,0.11815,0,0,0,0,-0.0340153,-0.0340153,76.8248,153.65,153.65,-26.8649,-71.23,-43.8332,0,2.20175,1.09255,1.1092,0,0,0,0,0,0,0,0,0,-0.930341,0,-0.930341,76,328,0,24.8128,29.6579,19.3518,366.284,0,0,7.04614,20.5119,2.70208,0.154439,1.17224,3.66357,1.50083,0.709494,0,0,0,0.0495515,0.0950625,5423.58,413.021,255.151,1806.31,0.998005
1998,6,23,0.2,4.65437,1.36903,21.3489,0,8.47135,233.79,0,0.11815,0,0,0,0,-0.0189135,-0.0189135,77.8518,155.704,155.704,-25.4713,-65.7909,-40.0763,0,2.19013,1.0537,1.13643,0,0,0,0,0,0,0,0,0,-0.881064,0,-0.881064,76,328,0,24.8128,29.6579,19.3518,366.284,0,0,7.04614,20.5119,2.70208,0.154439,1.17224,3.66357,1.50083,0.709494,0,0,0,0.0495019,0.0950625,5423.68,413.024,254.44,1806.78,0.997986
1998,7,23,9.8,6.02104,3.56522,23.7825,0,2.65673,246.619,0,0.11815,0,0,0,0,-0.0170113,-0.0170113,88.1083,176.217,176.217,-28.7416,-68.7029,-41.2423,0,2.30647,1.10078,1.20569,0,0,0,0,0,0,0,0,0,-0.996302,0,-0.996302,76,328,0,24.8128,29.6579,19.3518,366.284,0,0,7.04614,20.5119,2.70208,0.154439,1.17224,3.66357,1.50083,0.709494,0,0,0,0.0494524,0.0950625,5423.78,413.026,253.713,1807.25,0.997965
1998,8,23,0.6,6.57292,3.66685,64.1137,0.322848,16.5597,245.278,0,0.11815,0,0,0,0,-0.00640246,-0.00640246,89.2733,178.547,178.547,-18.0702,-60.398,-44.1736,0,2.33468,1.10183,1.23286,0,0,0,0,0,0,0,0,0,-0.626346,2.46397E-05,-0.62637,76,328,0,24.8128,29.6579,19.3518,366.284,0,0,7.04614,20.5119,2.70208,0.154439,1.17224,3.66357,1.50083,0.709494,0,0,0,0.049403,0.0950625,5423.9,413.029,252.732,1807.69,0.99791
1998,9,23,4.2,3.33771,2.11796,7.43256,0,8.58606,238.933,0,0.11815,0,0,0,0,-0.00575865,-0.00575865,94.1095,188.219,188.219,-25.7321,-61.7822,-34.7618,0,2.54421,1.06157,1.48265,0,0,0,0,0,0,0,0,0,-0.890783,0,-0.890783,76,328,0,24.8128,29.6579,19.3518,366.284,0,0,7.04614,20.5119,2.70208,0.154439,1.17224,3.66357,1.50083,0.709494,0,0,0,0.0493536,0.0950625,5424.03,413.032,251.774,1808.13,0.997857
1998,10,23,0,6.47917,6.57117,97.0861,8.81218,20.5753,262.089,0,0.11815,0,0,0,0,-0.00369743,-0.00369743,94.4841,188.968,188.968,-11.3602,-46.0167,-39.59,0,2.65335,1.18295,1.4704,0,0,0,0,0,0,0,0,0,-0.394629,0.00732792,-0.401957,76,328,0,24.8128,29.6579,19.3518,366.284,0,0,7.04614,20.5119,2.70208,0.154439,1.17224,3.66357,1.50083,0.709494,0,0,0,0.0493042,0.0950625,5424.17,413.034,250.607,1808.54,0.997775
